Permalink BSG	Kurztitel
http://permalink.snl.ch/bib/chbsg000129482	Gamper/Niederhäuser 2011
http://permalink.snl.ch/bib/chbsg000104927	Gantenbein 1996
http://permalink.snl.ch/bib/chbsg000137400	Ganz 1897
http://permalink.snl.ch/bib/chbsg000136575	Ganz 1900
http://permalink.snl.ch/bib/chbsg000135248	Ganz 1925
http://permalink.snl.ch/bib/chbsg000137453	Ganz 1954
http://permalink.snl.ch/bib/chbsg000151043	Ganz 1958
http://permalink.snl.ch/bib/chbsg000136285	Ganz 1959
http://permalink.snl.ch/bib/chbsg000151044	Ganz 1960
http://permalink.snl.ch/bib/chbsg000136286	Ganz 1965
http://permalink.snl.ch/bib/chbsg000135587	Ganz 1966
http://permalink.snl.ch/bib/chbsg000136287	Ganz 1967
http://permalink.snl.ch/bib/chbsg000136288	Ganz 1969
http://permalink.snl.ch/bib/chbsg000089214	Gassner 1998
http://permalink.snl.ch/bib/chbsg000138203	Geilinger 1938
http://permalink.snl.ch/bib/chbsg000096346	Gerber 1994
http://permalink.snl.ch/bib/chbsg000024635	Gerber 2001
http://permalink.snl.ch/bib/chbsg000131998	Gerber 2012
http://permalink.snl.ch/bib/chbsg000100848	Germann 1994
http://permalink.snl.ch/bib/chbsg000123317	Geschichte des Kantons Schwyz 2012
http://permalink.snl.ch/bib/chbsg000081507	GHS
http://permalink.snl.ch/bib/chbsg991001174249803977	Giesecke 1991
http://permalink.snl.ch/bib/chbsg000151029	Giger 1990
http://permalink.snl.ch/bib/chbsg000137516	Giger 1993
http://permalink.snl.ch/bib/chbsg000151167	Gilomen 1984
http://permalink.snl.ch/bib/chbsg000138269	Gilomen 1994
http://permalink.snl.ch/bib/chbsg000151030	Gilomen 1994a
http://permalink.snl.ch/bib/chbsg000138270	Gilomen 1995
http://permalink.snl.ch/bib/chbsg000095354	Gilomen 1996
http://permalink.snl.ch/bib/chbsg000013187	Gilomen 2000
http://permalink.snl.ch/bib/chbsg000125437	Gilomen 2002a
http://permalink.snl.ch/bib/chbsg000135575	Gilomen 2009
http://permalink.snl.ch/bib/chbsg000051173	Gilomen 2009a
http://permalink.snl.ch/bib/chbsg000136543	Girsberger 1895
http://permalink.snl.ch/bib/chbsg000151045	Gisler 1992
http://permalink.snl.ch/bib/chbsg000137279	Glaettli 1937
http://permalink.snl.ch/bib/chbsg000139720	Glauser 1961
http://permalink.snl.ch/bib/chbsg000138415	Glitsch 1917
http://permalink.snl.ch/bib/chbsg000138622	Glückshafenrodel
http://permalink.snl.ch/bib/chbsg991001191949703977	Gmür 1905
http://permalink.snl.ch/bib/chbsg991001220742403977	Golden et al. 2006
http://permalink.snl.ch/bib/chbsg000025040	Gollnick 2001
http://permalink.snl.ch/bib/chbsg991001190347803977	Gonon 1968
http://permalink.snl.ch/bib/chbsg000141047	Good 2006
http://permalink.snl.ch/bib/chbsg000072452	Gordon 1992
http://permalink.snl.ch/bib/chbsg000023165	Göttler 2001
http://permalink.snl.ch/bib/chbsg000144854	Göttmann 1977
http://permalink.snl.ch/bib/chbsg000082860	GPSR
http://permalink.snl.ch/bib/chbsg000142272	Graber 1957
http://permalink.snl.ch/bib/chbsg000142628	Graber 2000
http://permalink.snl.ch/bib/chbsg000140856	Graber 2001
http://permalink.snl.ch/bib/chbsg000038423	Graber 2003
http://permalink.snl.ch/bib/chbsg000037397	Graber 2003a
http://permalink.snl.ch/bib/chbsg000045610	Graber 2005
http://permalink.snl.ch/bib/chbsg000150357	Graber, Urkunden
http://permalink.snl.ch/bib/chbsg000137913	Graf 1941
http://permalink.snl.ch/bib/chbsg991001175449703977	Grenacher-Berthoud 1972
http://permalink.snl.ch/bib/chbsg000135604	Griesel 1994
http://permalink.snl.ch/bib/chbsg000112070	Griesel 1995
http://permalink.snl.ch/bib/chbsg000135636	Grimm, Weisthümer
http://permalink.snl.ch/bib/chbsg000144843	Groebner 2004
http://permalink.snl.ch/bib/chbsg991001174649803977	Grossmann 1927
http://permalink.snl.ch/bib/chbsg000138106	Grotefend 1971
http://permalink.snl.ch/bib/chbsg000063422	Grunder/Pantli 1991
http://permalink.snl.ch/bib/chbsg000142711	Grünenfelder 1941
http://permalink.snl.ch/bib/chbsg000137733	Grünenfelder 2007
http://permalink.snl.ch/bib/chbsg000137209	Grüth, Vorrede
http://permalink.snl.ch/bib/chbsg000141069	Gschwend 2006
http://permalink.snl.ch/bib/chbsg000053827	Gschwend 2008
http://permalink.snl.ch/bib/chbsg000144855	Gschwend 2010
http://permalink.snl.ch/bib/chbsg000032476	Guddal 2003
http://permalink.snl.ch/bib/chbsg000069882	Guex 1986
http://permalink.snl.ch/bib/chbsg000116085	Gugerli 1988
http://permalink.snl.ch/bib/chbsg000138323	Guggenbühl 1912
http://permalink.snl.ch/bib/chbsg000142289	Guibert 1972
http://permalink.snl.ch/bib/chbsg000150645	Gurt 1993-1995
http://permalink.snl.ch/bib/chbsg000142665	Gurt 1995
http://permalink.snl.ch/bib/chbsg000076716	Gut 1979
http://permalink.snl.ch/bib/chbsg000078466	Gut 1979a
http://permalink.snl.ch/bib/chbsg000081202	Gut 1981-1982
http://permalink.snl.ch/bib/chbsg000109616	Gut 1995
http://permalink.snl.ch/bib/chbsg000020597	Gut 2000
http://permalink.snl.ch/bib/chbsg000135595	Gutjahr 1906
http://permalink.snl.ch/bib/chbsg000124460	Gutmann 2010
http://permalink.snl.ch/bib/chbsg000138616	Guyer 1943
http://permalink.snl.ch/bib/chbsg000137257	Guyer 1966
http://permalink.snl.ch/bib/chbsg000081919	Guyer 1980
http://permalink.snl.ch/bib/chbsg000053600	Gysel 2010
http://permalink.snl.ch/bib/chbsg000150452	Haase 1978
http://permalink.snl.ch/bib/chbsg991001175843503977	Häberle 1972
http://permalink.snl.ch/bib/chbsg000106833	Häberle 1982
http://permalink.snl.ch/bib/chbsg000151402	Häberle 1985
http://permalink.snl.ch/bib/chbsg000135634	Habsburgisches Urbar
http://permalink.snl.ch/bib/chbsg000046512	Hacke 2005
http://permalink.snl.ch/bib/chbsg000151418	Haerle 1993
http://permalink.snl.ch/bib/chbsg000055155	Häfeli 2009
http://permalink.snl.ch/bib/chbsg000054237	Hagemann 2009
http://permalink.snl.ch/bib/chbsg000081988	Hagmann 1984
http://permalink.snl.ch/bib/chbsg000136725	Hakios 1963
http://permalink.snl.ch/bib/chbsg000139010	Halter 1956
http://permalink.snl.ch/bib/chbsg000031338	Halter-Pernet 2002
http://permalink.snl.ch/bib/chbsg000134342	Halter-Pernet 2014
http://permalink.snl.ch/bib/chbsg000143307	Hammer 1973
http://permalink.snl.ch/bib/chbsg000151046	Hämmerli 1940
http://permalink.snl.ch/bib/chbsg000135541	Hauser 1899
http://permalink.snl.ch/bib/chbsg000137914	Hauser 1901
http://permalink.snl.ch/bib/chbsg000136507	Hauser 1903
http://permalink.snl.ch/bib/chbsg000143815	Hauser 1906
http://permalink.snl.ch/bib/chbsg991001180649703977	Hauser 1906a
http://permalink.snl.ch/bib/chbsg000137916	Hauser 1907
http://permalink.snl.ch/bib/chbsg000136508	Hauser 1909
http://permalink.snl.ch/bib/chbsg000135362	Hauser 1912
http://permalink.snl.ch/bib/chbsg000137379	Hauser 1912a
http://permalink.snl.ch/bib/chbsg000135487	Hauser 1917
http://permalink.snl.ch/bib/chbsg000135485	Hauser 1918
http://permalink.snl.ch/bib/chbsg000136616	Hauser 1919
http://permalink.snl.ch/bib/chbsg000137519	Hauser 1936
http://permalink.snl.ch/bib/chbsg000136664	Hauser 1941
http://permalink.snl.ch/bib/chbsg000139022	Hauser 1973
http://permalink.snl.ch/bib/chbsg991001175843603977	Hausmair/Signori, Baugerichtsprotokolle
http://permalink.snl.ch/bib/chbsg000137087	Hauswirth 1967
http://permalink.snl.ch/bib/chbsg000136784	Hauswirth 1973
http://permalink.snl.ch/bib/chbsg000069755	HBBW
http://permalink.snl.ch/bib/chbsg000135528	HBLS
http://permalink.snl.ch/bib/chbsg000130744	HCN 1
http://permalink.snl.ch/bib/chbsg000119363	HCN 2
http://permalink.snl.ch/bib/chbsg000136636	Hedinger 1925
http://permalink.snl.ch/bib/chbsg000136652	Hedinger 1936
http://permalink.snl.ch/bib/chbsg000137604	Hedinger 1958
http://permalink.snl.ch/bib/chbsg000118346	Heeb 2009
http://permalink.snl.ch/bib/chbsg000077518	Heeb-Hilty 1987
http://permalink.snl.ch/bib/chbsg991001200548203977	Heer 1916
http://permalink.snl.ch/bib/chbsg000139041	Hegi 1912
http://permalink.snl.ch/bib/chbsg000133823	Hegi 1922
http://permalink.snl.ch/bib/chbsg000136621	Hegi 1923-1926
http://permalink.snl.ch/bib/chbsg000139023	Heierle 1949
http://permalink.snl.ch/bib/chbsg991001180049803977	Heimann 1992
http://permalink.snl.ch/bib/chbsg000143754	Heinig 1997
http://permalink.snl.ch/bib/chbsg000151047	Helbling 1919
http://permalink.snl.ch/bib/chbsg000151002	Helbling 2002
http://permalink.snl.ch/bib/chbsg000151403	Helbling 2002a
http://permalink.snl.ch/bib/chbsg000150642	Helbock Reg.
http://permalink.snl.ch/bib/chbsg000137450	Helfenstein 1972
http://permalink.snl.ch/bib/chbsg000096633	Helfenstein 1980
http://permalink.snl.ch/bib/chbsg000065536	Helfenstein 1985
http://permalink.snl.ch/bib/chbsg000059115	Helfenstein 1988
http://permalink.snl.ch/bib/chbsg991001205949803977	Henne, Klingenberger Chronik
http://permalink.snl.ch/bib/chbsg000144851	Hennrich 2003
http://permalink.snl.ch/bib/chbsg000056573	Henrich 2010
http://permalink.snl.ch/bib/chbsg000073400	Henry 1984
http://permalink.snl.ch/bib/chbsg000142189	Henry 2005
http://permalink.snl.ch/bib/chbsg000142298	Herold 1936
http://permalink.snl.ch/bib/chbsg000137713	Herzog 1942
http://permalink.snl.ch/bib/chbsg000073503	Hess 1991
http://permalink.snl.ch/bib/chbsg000151048	Heuscher 1908
http://permalink.snl.ch/bib/chbsg000151003	Heusinger 2002
http://permalink.snl.ch/bib/chbsg000119281	Heusinger 2011
http://permalink.snl.ch/bib/chbsg000142666	Hidber, Urkundenregister
http://permalink.snl.ch/bib/chbsg991001200547903977	Hill 2004
http://permalink.snl.ch/bib/chbsg000142779	Hilty 1898
http://permalink.snl.ch/bib/chbsg000142778	Hilty 1906
http://permalink.snl.ch/bib/chbsg000142785	Hilty-Kunz 1900
http://permalink.snl.ch/bib/chbsg000150349	Hirschmann 2009
http://permalink.snl.ch/bib/chbsg000145816	Hitz 2013
http://permalink.snl.ch/bib/chbsg000143753	Hlaváček 1970
http://permalink.snl.ch/bib/chbsg000030960	HLS
http://permalink.snl.ch/bib/chbsg991001200548103977	Hofer-Wild 1949
http://permalink.snl.ch/bib/chbsg000151060	Höfler/Illi 1992
http://permalink.snl.ch/bib/chbsg000086098	Holenstein 1991
http://permalink.snl.ch/bib/chbsg000151072	Hollenweger 1987
http://permalink.snl.ch/bib/chbsg991001175849503977	Holthöfer 1997
http://permalink.snl.ch/bib/chbsg000137152	Hoppeler 1908
http://permalink.snl.ch/bib/chbsg000137610	Hoppeler 1921-1922
http://permalink.snl.ch/bib/chbsg000137472	Hoppeler 1923
http://permalink.snl.ch/bib/chbsg000136631	Hoppeler 1924
http://permalink.snl.ch/bib/chbsg000137474	Hoppeler 1924a
http://permalink.snl.ch/bib/chbsg000136634	Hoppeler 1925
http://permalink.snl.ch/bib/chbsg000136378	Hoppeler 1927
http://permalink.snl.ch/bib/chbsg000137149	Hoppeler, Beitrag
http://permalink.snl.ch/bib/chbsg000137150	Hoppeler, Burgrecht
http://permalink.snl.ch/bib/chbsg000137151	Hoppeler, Winterthur
http://permalink.snl.ch/bib/chbsg000151166	Hottinger 1825-1829
http://permalink.snl.ch/bib/chbsg000137144	Hottinger 1855
http://permalink.snl.ch/bib/chbsg000136339	Hottinger, Beschwerdeschriften
http://permalink.snl.ch/bib/chbsg000151049	Hotz 1868
http://permalink.snl.ch/bib/chbsg000135522	Hotz, UB Schwamendingen
http://permalink.snl.ch/bib/chbsg000142353	HPN 1
http://permalink.snl.ch/bib/chbsg000142589	HPN 2
http://permalink.snl.ch/bib/chbsg000142448	HPN 3
http://permalink.snl.ch/bib/chbsg000150482	HRG
http://permalink.snl.ch/bib/chbsg991001180648103977	HRG (2. Aufl.)
http://permalink.snl.ch/bib/chbsg000138053	HS
http://permalink.snl.ch/bib/chbsg000077738	HS I
http://permalink.snl.ch/bib/chbsg000150988	HS I/1
http://permalink.snl.ch/bib/chbsg000150989	HS I/2
http://permalink.snl.ch/bib/chbsg000150990	HS I/3
http://permalink.snl.ch/bib/chbsg000150991	HS I/4
http://permalink.snl.ch/bib/chbsg000150992	HS I/5
http://permalink.snl.ch/bib/chbsg000150993	HS I/6
http://permalink.snl.ch/bib/chbsg000071825	HS II/1
http://permalink.snl.ch/bib/chbsg000113473	HS II/2
http://permalink.snl.ch/bib/chbsg000096614	HS III
http://permalink.snl.ch/bib/chbsg000151004	HS III/1
http://permalink.snl.ch/bib/chbsg000151005	HS III/2
http://permalink.snl.ch/bib/chbsg000150994	HS III/3
http://permalink.snl.ch/bib/chbsg000151006	HS III/4
http://permalink.snl.ch/bib/chbsg000096613	HS IV
http://permalink.snl.ch/bib/chbsg000084708	HS IX/1
http://permalink.snl.ch/bib/chbsg000066985	HS IX/2
http://permalink.snl.ch/bib/chbsg000084707	HS V/1
http://permalink.snl.ch/bib/chbsg000101023	HS VII
http://permalink.snl.ch/bib/chbsg000139028	Huber 1929
http://permalink.snl.ch/bib/chbsg000151050	Huber 1958
http://permalink.snl.ch/bib/chbsg000133907	Hubmann 1954
http://permalink.snl.ch/bib/chbsg000133908	Hubmann 1956
http://permalink.snl.ch/bib/chbsg000049323	Hübner 2007
http://permalink.snl.ch/bib/chbsg000136417	Hug 1965
http://permalink.snl.ch/bib/chbsg000024101	Hugener 2001
http://permalink.snl.ch/bib/chbsg000039118	Hugener 2004
http://permalink.snl.ch/bib/chbsg000116824	Hugener 2009
http://permalink.snl.ch/bib/chbsg000130889	Hugener 2014
http://permalink.snl.ch/bib/chbsg000142477	Huguenin et al. 1790
http://permalink.snl.ch/bib/chbsg000142461	Humbert 1973
http://permalink.snl.ch/bib/chbsg000137695	Hunziker, Unruhen
http://permalink.snl.ch/bib/chbsg000151051	Hürlimann 1966
http://permalink.snl.ch/bib/chbsg000134619	Hürlimann 1999
http://permalink.snl.ch/bib/chbsg000013915	Hürlimann 2000
http://permalink.snl.ch/bib/chbsg000023734	Hürlimann 2001
http://permalink.snl.ch/bib/chbsg000027727	Hürlimann 2001a
http://permalink.snl.ch/bib/chbsg000028500	Hürlimann 2001b
http://permalink.snl.ch/bib/chbsg000044050	Hürlimann 2003
http://permalink.snl.ch/bib/chbsg000137606	Hürlimann 2003a
http://permalink.snl.ch/bib/chbsg000039614	Hürlimann 2004
http://permalink.snl.ch/bib/chbsg000142276	Hurny 1910
http://permalink.snl.ch/bib/chbsg000139025	Hüssy 1946
http://permalink.snl.ch/bib/chbsg000151168	Hüssy 1946a
http://permalink.snl.ch/bib/chbsg000137086	Hüssy 1946b
http://permalink.snl.ch/bib/chbsg000104870	Idiotikon
http://permalink.snl.ch/bib/chbsg000151052	Illi 1987
http://permalink.snl.ch/bib/chbsg000114159	Illi 1992
http://permalink.snl.ch/bib/chbsg000135533	Illi 1993
http://permalink.snl.ch/bib/chbsg000151176	Illi 1993a
http://permalink.snl.ch/bib/chbsg000036932	Illi 2003
http://permalink.snl.ch/bib/chbsg000127833	Ineichen 2011
http://permalink.snl.ch/bib/chbsg000070326	Inhelder 1992
http://permalink.snl.ch/bib/chbsg000105516	Irniger 1991
http://permalink.snl.ch/bib/chbsg000144841	Irniger 1996
http://permalink.snl.ch/bib/chbsg000150123	Irsigler 2004
http://permalink.snl.ch/bib/chbsg000135540	Isenmann 2002
http://permalink.snl.ch/bib/chbsg000135571	Isenmann 2012
http://permalink.snl.ch/bib/chbsg000087160	IWQZH
http://permalink.snl.ch/bib/chbsg000077848	Jaccard 1978
http://permalink.snl.ch/bib/chbsg000133402	Jaccard 1978
http://permalink.snl.ch/bib/chbsg000136607	Jacob 1907
http://permalink.snl.ch/bib/chbsg000139018	Jacob 1970
http://permalink.snl.ch/bib/chbsg000045605	Jacober 2005
http://permalink.snl.ch/bib/chbsg991001190348103977	Jacques-Chaquin et al. 1993
http://permalink.snl.ch/bib/chbsg000137737	Jaeger 2008
http://permalink.snl.ch/bib/chbsg000137922	Jahrtausendfeier Hottingen 1946
http://permalink.snl.ch/bib/chbsg000137147	Jecklin 1891
http://permalink.snl.ch/bib/chbsg000141324	Jecklin, Griffenseer Kopialbuch
http://permalink.snl.ch/bib/chbsg991001201449103977	Jeger 2002
http://permalink.snl.ch/bib/chbsg000110407	Jenny, Urkunden-Sammlung
http://permalink.snl.ch/bib/chbsg991001177249203977	Jezler 1990
http://permalink.snl.ch/bib/chbsg000151031	Jezler 2000
http://permalink.snl.ch/bib/chbsg000113166	Jezler et al. 1984
http://permalink.snl.ch/bib/chbsg000151163	Johannes von Winterthur
http://permalink.snl.ch/bib/chbsg000150274	Joos 1958
http://permalink.snl.ch/bib/chbsg000151407	Jucker 2002
http://permalink.snl.ch/bib/chbsg000138247	Just/Weigl 2008
http://permalink.snl.ch/bib/chbsg991001180448903977	Kabus 2000
http://permalink.snl.ch/bib/chbsg000150348	Kaiser 1847
http://permalink.snl.ch/bib/chbsg000070034	Kaiser 1985
http://permalink.snl.ch/bib/chbsg000101675	Kaiser 1990a
http://permalink.snl.ch/bib/chbsg000085767	Kaiser 1990b
http://permalink.snl.ch/bib/chbsg000101647	Kaiser 1996
http://permalink.snl.ch/bib/chbsg000124571	Kaiser 2011
http://permalink.snl.ch/bib/chbsg000137608	Kajatin 2003
http://permalink.snl.ch/bib/chbsg000149401	Kälble 2003
http://permalink.snl.ch/bib/chbsg000011079	Kälin-Pittier 1999
http://permalink.snl.ch/bib/chbsg000071624	Kamber 1982
http://permalink.snl.ch/bib/chbsg000053356	Kamber 2010
http://permalink.snl.ch/bib/chbsg000151032	Kamber/Keller 1996
http://permalink.snl.ch/bib/chbsg000088506	Kaufmann 1988
http://permalink.snl.ch/bib/chbsg000137763	KdS ZH I
http://permalink.snl.ch/bib/chbsg000137764	KdS ZH II
http://permalink.snl.ch/bib/chbsg000135537	KdS ZH III
http://permalink.snl.ch/bib/chbsg000137765	KdS ZH IV
http://permalink.snl.ch/bib/chbsg000137771	KdS ZH IX
http://permalink.snl.ch/bib/chbsg000137895	KdS ZH NA I
http://permalink.snl.ch/bib/chbsg000137897	KdS ZH NA II.I
http://permalink.snl.ch/bib/chbsg000137900	KdS ZH NA II.II
http://permalink.snl.ch/bib/chbsg000135635	KdS ZH NA III.I
http://permalink.snl.ch/bib/chbsg000137902	KdS ZH NA III.II
http://permalink.snl.ch/bib/chbsg000137903	KdS ZH NA IV
http://permalink.snl.ch/bib/chbsg000134493	KdS ZH NA V
http://permalink.snl.ch/bib/chbsg000137766	KdS ZH V
http://permalink.snl.ch/bib/chbsg000137768	KdS ZH VI
http://permalink.snl.ch/bib/chbsg000137769	KdS ZH VII
http://permalink.snl.ch/bib/chbsg000137770	KdS ZH VIII
http://permalink.snl.ch/bib/chbsg000137275	Keller 1932
http://permalink.snl.ch/bib/chbsg000137277	Keller 1932a
http://permalink.snl.ch/bib/chbsg000144848	Keller 1935
http://permalink.snl.ch/bib/chbsg000055164	Keller/Niederhäuser 2009
http://permalink.snl.ch/bib/chbsg000051034	Keller/Steinke 2008
http://permalink.snl.ch/bib/chbsg000136566	Keller-Escher 1898
http://permalink.snl.ch/bib/chbsg000141767	Kernen 1967
http://permalink.snl.ch/bib/chbsg000081018	Kessler 1985
http://permalink.snl.ch/bib/chbsg000087276	Kessler 1989a
http://permalink.snl.ch/bib/chbsg000141008	Kessler 1989b
http://permalink.snl.ch/bib/chbsg000081782	Kessler 1996
http://permalink.snl.ch/bib/chbsg000150125	Kiessling 2004
http://permalink.snl.ch/bib/chbsg000139037	Kilchenmann 1946
http://permalink.snl.ch/bib/chbsg000138205	Kisch 1978
http://permalink.snl.ch/bib/chbsg000138207	Kisch 1978a
http://permalink.snl.ch/bib/chbsg000151074	Klaassen 1996
http://permalink.snl.ch/bib/chbsg000137526	Kläui 1947
http://permalink.snl.ch/bib/chbsg000137242	Kläui 1947a
http://permalink.snl.ch/bib/chbsg000151068	Kläui 1951
http://permalink.snl.ch/bib/chbsg000151096	Kläui 1956
http://permalink.snl.ch/bib/chbsg000135638	Kläui 1958
http://permalink.snl.ch/bib/chbsg000136886	Kläui 1959
http://permalink.snl.ch/bib/chbsg000138134	Kläui 1960
http://permalink.snl.ch/bib/chbsg000135239	Kläui 1961
http://permalink.snl.ch/bib/chbsg000138212	Kläui 1962
http://permalink.snl.ch/bib/chbsg000135535	Kläui 1964
http://permalink.snl.ch/bib/chbsg000137525	Kläui 1964b
http://permalink.snl.ch/bib/chbsg000136289	Kläui 1967
http://permalink.snl.ch/bib/chbsg000135484	Kläui 1968
http://permalink.snl.ch/bib/chbsg000136771	Kläui 1969
http://permalink.snl.ch/bib/chbsg000136290	Kläui 1973
http://permalink.snl.ch/bib/chbsg000135534	Kläui 1985
http://permalink.snl.ch/bib/chbsg000139039	Kläui/Imhof 1951
http://permalink.snl.ch/bib/chbsg000137927	Kläui/Leemann 1969
http://permalink.snl.ch/bib/chbsg000047082	Klee 2006
http://permalink.snl.ch/bib/chbsg000150122	Knittler 2006
http://permalink.snl.ch/bib/chbsg000030657	Koch 2002
http://permalink.snl.ch/bib/chbsg991001180045403977	Kocher 1971
http://permalink.snl.ch/bib/chbsg991001204548203977	Kohler 1922
http://permalink.snl.ch/bib/chbsg000139347	Köhler 1932
http://permalink.snl.ch/bib/chbsg000109991	Köhn 1990
http://permalink.snl.ch/bib/chbsg000090144	Köhn 1993
http://permalink.snl.ch/bib/chbsg000112165	Köppel 1991
http://permalink.snl.ch/bib/chbsg000143817	Korger 1941
http://permalink.snl.ch/bib/chbsg000092201	Körner 1981
http://permalink.snl.ch/bib/chbsg000151033	Körner 1997
http://permalink.snl.ch/bib/chbsg000023541	Körner et al. 2001
http://permalink.snl.ch/bib/chbsg000114522	Kottmann/Hämmerle 1996
http://permalink.snl.ch/bib/chbsg000150457	Krausen, Urkunden
http://permalink.snl.ch/bib/chbsg000137456	Krebs, Nachlese
http://permalink.snl.ch/bib/chbsg000138318	Kreis 1909
http://permalink.snl.ch/bib/chbsg000141314	Kreis 1923
http://permalink.snl.ch/bib/chbsg000141369	Krüger Regesten
http://permalink.snl.ch/bib/chbsg991001200547703977	Krumm 2018
http://permalink.snl.ch/bib/chbsg000139748	Kubly-Müller 1927
http://permalink.snl.ch/bib/chbsg000069275	Kuhn 1994
http://permalink.snl.ch/bib/chbsg000137958	Kunz 1948
http://permalink.snl.ch/bib/chbsg000082062	Kunzmann 1983
http://permalink.snl.ch/bib/chbsg000051753	Kupper 2009
http://permalink.snl.ch/bib/chbsg000082028	Kuratli 1984
http://permalink.snl.ch/bib/chbsg000142602	Kuratli 1984a
http://permalink.snl.ch/bib/chbsg000110853	Kuster 1991
http://permalink.snl.ch/bib/chbsg000101708	Kuster 1995
http://permalink.snl.ch/bib/chbsg000046465	Kuster 2006
http://permalink.snl.ch/bib/chbsg000125480	Kuster 2012
http://permalink.snl.ch/bib/chbsg000065568	Kuster et al. 1998
http://permalink.snl.ch/bib/chbsg000137511	Labhart-Labhart 1879
http://permalink.snl.ch/bib/chbsg000137360	Labhart-Labhart 1881
http://permalink.snl.ch/bib/chbsg991001180448603977	Labouvie 1993
http://permalink.snl.ch/bib/chbsg991001180049703977	Lackner 2002
http://permalink.snl.ch/bib/chbsg000150470	Ladurner 1871/1873
http://permalink.snl.ch/bib/chbsg000143693	Landenberg
http://permalink.snl.ch/bib/chbsg000138160	Landolt 2005
http://permalink.snl.ch/bib/chbsg000151409	Landolt 2007
http://permalink.snl.ch/bib/chbsg000132576	Landolt 2013
http://permalink.snl.ch/bib/chbsg991001180649503977	Landwehr 2004
http://permalink.snl.ch/bib/chbsg000139042	Largiadèr 1920
http://permalink.snl.ch/bib/chbsg000133824	Largiadèr 1922
http://permalink.snl.ch/bib/chbsg000137442	Largiadèr 1932
http://permalink.snl.ch/bib/chbsg000137443	Largiadèr 1935
http://permalink.snl.ch/bib/chbsg000137612	Largiadèr 1936
http://permalink.snl.ch/bib/chbsg000136668	Largiadèr 1942
http://permalink.snl.ch/bib/chbsg000139043	Largiadèr 1945
http://permalink.snl.ch/bib/chbsg000138213	Largiadèr 1950
http://permalink.snl.ch/bib/chbsg000139108	Largiadèr 1952
http://permalink.snl.ch/bib/chbsg000136715	Largiadèr 1961
http://permalink.snl.ch/bib/chbsg000135288	Largiadèr 1965
http://permalink.snl.ch/bib/chbsg000137153	Largiadèr, Urbar
http://permalink.snl.ch/bib/chbsg000100062	Le Saux 1980
http://permalink.snl.ch/bib/chbsg000137081	Leemann-van Elck 1934
http://permalink.snl.ch/bib/chbsg991001177149803977	Leemann-van Elck 1940
http://permalink.snl.ch/bib/chbsg991001177149703977	Leemann-van Elck 1950
http://permalink.snl.ch/bib/chbsg000056469	Leibacher 2008
http://permalink.snl.ch/bib/chbsg000055156	Leibacher 2009
http://permalink.snl.ch/bib/chbsg000093103	Leisibach 1982
http://permalink.snl.ch/bib/chbsg000106834	Lendenmann 1988
http://permalink.snl.ch/bib/chbsg000151410	Lendenmann 1996
http://permalink.snl.ch/bib/chbsg000135488	Lengwiler 1955
http://permalink.snl.ch/bib/chbsg000135536	Leonhard 2002
http://permalink.snl.ch/bib/chbsg000129788	Leonhard 2014
http://permalink.snl.ch/bib/chbsg000151411	Leonhard/Niederhäuser 2003
http://permalink.snl.ch/bib/chbsg000136824	Letsch 2013
http://permalink.snl.ch/bib/chbsg000039521	Leu 2003
http://permalink.snl.ch/bib/chbsg000124197	Leu u. a. 2011
http://permalink.snl.ch/bib/chbsg000046472	Leu/Scheidegger 2007
http://permalink.snl.ch/bib/chbsg991001180648003977	Lexer
http://permalink.snl.ch/bib/chbsg000091417	LexMA
http://permalink.snl.ch/bib/chbsg000143812	Ley 1948
http://permalink.snl.ch/bib/chbsg000142709	Lichnowsky Regesten
http://permalink.snl.ch/bib/chbsg000150356	Liebenau 1889
http://permalink.snl.ch/bib/chbsg000150355	Liebenau 1892
http://permalink.snl.ch/bib/chbsg000138416	Linder 2009
http://permalink.snl.ch/bib/chbsg000143755	Lindner 1882
http://permalink.snl.ch/bib/chbsg000137265	Lipp 1966
http://permalink.snl.ch/bib/chbsg000135244	Lipp 1972
http://permalink.snl.ch/bib/chbsg000135245	Lipp 1972a
http://permalink.snl.ch/bib/chbsg000135241	Lipp 1973
http://permalink.snl.ch/bib/chbsg000135242	Lipp 1973a
http://permalink.snl.ch/bib/chbsg000040685	Lippuner 2004
http://permalink.snl.ch/bib/chbsg991001170748803977	Lippuner 2018
http://permalink.snl.ch/bib/chbsg000142773	Litscher 1919
http://permalink.snl.ch/bib/chbsg000050069	Loetz 2002
http://permalink.snl.ch/bib/chbsg000142304	Loew 1954
http://permalink.snl.ch/bib/chbsg000142459	Loew 1954
http://permalink.snl.ch/bib/chbsg000141761	Loew 1966
http://permalink.snl.ch/bib/chbsg000141765	Loew 1967
http://permalink.snl.ch/bib/chbsg000137307	Lohner, Missive
http://permalink.snl.ch/bib/chbsg000091563	LUB
http://permalink.snl.ch/bib/chbsg000136512	Luginbühl 1907
http://permalink.snl.ch/bib/chbsg000150271	Lürzer, Urbar
http://permalink.snl.ch/bib/chbsg000139120	Lutz 1957
http://permalink.snl.ch/bib/chbsg000136716	Lutz 1962
http://permalink.snl.ch/bib/chbsg000139125	Lutz 1963
http://permalink.snl.ch/bib/chbsg000110112	Maeder 1974
